album_id,album_id_matrix,artist_id,artist_id_matrix,play_count
al_447,447,ar_1,1,45602110
al_448,448,ar_260,260,2661
al_449,449,ar_16,16,18425023
al_450,450,ar_262,262,21216363
al_451,451,ar_263,263,1813681
al_452,452,ar_264,264,58735
al_453,453,ar_52,52,9754032
al_454,454,ar_265,265,5550890
al_455,455,ar_266,266,13758686
al_456,456,ar_267,267,110844
al_457,457,ar_17,17,1793279
al_458,458,ar_269,269,852445
al_459,459,ar_270,270,140747
al_460,460,ar_27,27,29941172
al_461,461,ar_258,258,64270645
al_462,462,ar_90,90,14552624
al_463,463,ar_16,16,11461718
al_464,464,ar_4,4,4044348
al_465,465,ar_48,48,46220200
al_466,466,ar_48,48,25114098
al_467,467,ar_51,51,3835474
al_468,468,ar_264,264,199235
al_469,469,ar_272,272,2846
al_470,470,ar_273,273,418530
al_471,471,ar_274,274,10542
al_472,472,ar_275,275,7145972
al_473,473,ar_258,258,87355031
al_474,474,ar_249,249,2945272
al_475,475,ar_35,35,36950464
al_476,476,ar_17,17,27550869
al_477,477,ar_276,276,4041
al_478,478,ar_277,277,367
al_479,479,ar_275,275,19757
al_480,480,ar_69,69,250611
al_481,481,ar_279,279,520064
al_482,482,ar_92,92,20466026
al_483,483,ar_16,16,884911
al_484,484,ar_280,280,36450559
al_485,485,ar_281,281,38865393
al_486,486,ar_149,149,15093
al_487,487,ar_282,282,2965
al_488,488,ar_283,283,28468
al_489,489,ar_284,284,42791428
al_490,490,ar_281,281,106516746
al_491,491,ar_285,285,16364
al_492,492,ar_288,288,72966780
al_493,493,ar_289,289,25821520
al_494,494,ar_290,290,1045243
al_495,495,ar_291,291,3993740
al_496,496,ar_292,292,2858
al_497,497,ar_293,293,192400
al_498,498,ar_23,23,2879213
al_499,499,ar_23,23,25244322
al_500,500,ar_294,294,30754550
al_501,501,ar_295,295,71513
al_502,502,ar_23,23,36790524
al_503,503,ar_296,296,162812
al_504,504,ar_297,297,23608591
al_505,505,ar_298,298,27656
al_506,506,ar_299,299,476892
al_507,507,ar_283,283,1052765
al_508,508,ar_172,172,16018681
al_509,509,ar_284,284,79978362
al_510,510,ar_294,294,15415
al_511,511,ar_302,302,1120301
al_512,512,ar_69,69,7345715
al_513,513,ar_40,40,32408062
al_514,514,ar_303,303,13459
al_515,515,ar_57,57,35732877
al_516,516,ar_305,305,4009122
al_517,517,ar_306,306,8039
al_518,518,ar_307,307,31479412
al_519,519,ar_309,309,9862600
al_520,520,ar_310,310,2058638
al_521,521,ar_309,309,22220085
al_522,522,ar_302,302,11721625
al_523,523,ar_312,312,219
al_524,524,ar_46,46,77875489
al_525,525,ar_313,313,6239952
al_526,526,ar_314,314,37841043
al_527,527,ar_315,315,1880
al_528,528,ar_317,317,14883
al_529,529,ar_2,2,48897350
al_530,530,ar_317,317,26599475
al_531,531,ar_318,318,7626
al_532,532,ar_318,318,1968042
al_533,533,ar_317,317,363841
al_534,534,ar_319,319,38809629
al_535,535,ar_2,2,58320923
al_536,536,ar_317,317,2878378
al_537,537,ar_321,321,6717
al_538,538,ar_318,318,14870313
al_539,539,ar_322,322,5278401
al_540,540,ar_2,2,10429
al_541,541,ar_0,0,9718
al_542,542,ar_321,321,862163
al_543,543,ar_319,319,33710861
al_544,544,ar_323,323,2464755
al_545,545,ar_321,321,13043674
al_546,546,ar_321,321,12233896
al_547,547,ar_319,319,60188765
al_548,548,ar_324,324,21788774
al_549,549,ar_71,71,1386
al_550,550,ar_321,321,210889
al_551,551,ar_317,317,842051
al_552,552,ar_317,317,8068240
al_553,553,ar_317,317,131846
al_554,554,ar_2,2,89589901
al_555,555,ar_13,13,68653
al_556,556,ar_328,328,5676
al_557,557,ar_318,318,402339
al_558,558,ar_317,317,208378
al_559,559,ar_329,329,19404
al_560,560,ar_318,318,67916
al_561,561,ar_2,2,23421076
al_562,562,ar_321,321,10765
al_563,563,ar_330,330,4937388
al_564,564,ar_322,322,1424
al_565,565,ar_331,331,9482
al_566,566,ar_317,317,2490653
al_567,567,ar_332,332,1810340
al_568,568,ar_68,68,3441
al_569,569,ar_250,250,3615
al_570,570,ar_336,336,1583
al_571,571,ar_23,23,31621
al_572,572,ar_337,337,467
al_573,573,ar_114,114,4591
al_574,574,ar_338,338,538100
al_575,575,ar_1,1,324352
al_576,576,ar_339,339,380795
al_577,577,ar_340,340,3275
al_578,578,ar_0,0,301602
al_579,579,ar_92,92,56531858
al_580,580,ar_92,92,18816202
al_581,581,ar_92,92,3825203
al_582,582,ar_341,341,2216
al_583,583,ar_342,342,22935871
al_584,584,ar_118,118,3259161
al_585,585,ar_344,344,38120
al_586,586,ar_342,342,216120
al_587,587,ar_345,345,40876513
al_588,588,ar_2,2,47235076
al_589,589,ar_346,346,67741369
al_590,590,ar_92,92,11240951
al_591,591,ar_347,347,48490353
al_592,592,ar_348,348,9467530
al_593,593,ar_348,348,3241
al_594,594,ar_239,239,19321168
al_595,595,ar_92,92,16095422
al_596,596,ar_92,92,28643468
al_597,597,ar_42,42,43786
al_598,598,ar_350,350,4023146
al_599,599,ar_351,351,1309825
al_600,600,ar_255,255,31667
al_601,601,ar_92,92,23079249
al_602,602,ar_92,92,3959
al_603,603,ar_353,353,7757559
al_604,604,ar_318,318,3848201
al_605,605,ar_62,62,1672622
al_606,606,ar_62,62,46030840
al_607,607,ar_90,90,94717
al_608,608,ar_355,355,1974297
al_609,609,ar_356,356,134430
al_610,610,ar_357,357,79151
al_611,611,ar_320,320,51259
al_612,612,ar_82,82,18575122
al_613,613,ar_358,358,10
al_614,614,ar_359,359,3245925
al_615,615,ar_360,360,11040
al_616,616,ar_361,361,10555716
al_617,617,ar_362,362,5630974
al_618,618,ar_363,363,2326
al_619,619,ar_353,353,1787838
al_620,620,ar_364,364,1943078
al_621,621,ar_365,365,1083442
al_622,622,ar_366,366,595520
al_623,623,ar_367,367,8042047
al_624,624,ar_158,158,6681743
al_625,625,ar_368,368,2538365
al_626,626,ar_97,97,1224088
al_627,627,ar_369,369,1200
al_628,628,ar_370,370,1279492
al_629,629,ar_371,371,722276
al_630,630,ar_158,158,12104822
al_631,631,ar_354,354,9989061
al_632,632,ar_372,372,16917016
al_633,633,ar_373,373,509094
al_634,634,ar_361,361,948557
al_635,635,ar_374,374,6104
al_636,636,ar_376,376,12909
al_637,637,ar_377,377,1787732
al_638,638,ar_318,318,2475023
al_639,639,ar_17,17,2752
al_640,640,ar_378,378,900
al_641,641,ar_62,62,40693
al_642,642,ar_370,370,2518
al_643,643,ar_206,206,92095
al_644,644,ar_380,380,4928
al_645,645,ar_353,353,1741821
al_646,646,ar_381,381,2060649
al_647,647,ar_359,359,7698056
al_648,648,ar_47,47,173
al_649,649,ar_47,47,90
al_650,650,ar_62,62,2391
al_651,651,ar_382,382,5304
al_652,652,ar_349,349,7565831
al_653,653,ar_383,383,329474
al_654,654,ar_57,57,36798
al_655,655,ar_387,387,82000
al_656,656,ar_239,239,122089
al_657,657,ar_62,62,3387
al_658,658,ar_389,389,214647
al_659,659,ar_390,390,31998
al_660,660,ar_391,391,6366
al_661,661,ar_392,392,7970610
al_662,662,ar_359,359,25267589
al_663,663,ar_393,393,1284716
al_664,664,ar_394,394,20362
al_665,665,ar_396,396,1302968
al_666,666,ar_21,21,14205
al_667,667,ar_378,378,13084056
al_668,668,ar_62,62,66128336
al_669,669,ar_157,157,2525448
al_670,670,ar_398,398,14967835
al_671,671,ar_398,398,17094744
al_672,672,ar_154,154,13837713
al_673,673,ar_399,399,9118227
al_674,674,ar_398,398,9344614
al_675,675,ar_157,157,1688520
al_676,676,ar_399,399,12592193
al_677,677,ar_157,157,3323
al_678,678,ar_401,401,15711749
al_679,679,ar_280,280,25107372
al_680,680,ar_157,157,4948765
al_681,681,ar_157,157,17730056
al_682,682,ar_400,400,3196725
al_683,683,ar_304,304,8176054
al_684,684,ar_154,154,1209915
al_685,685,ar_402,402,8165500
al_686,686,ar_401,401,196425
al_687,687,ar_400,400,2733486
al_688,688,ar_399,399,27163343
al_689,689,ar_399,399,19756126
al_690,690,ar_401,401,179308
al_691,691,ar_401,401,21243577
al_692,692,ar_304,304,20165315
al_693,693,ar_402,402,4033410
al_694,694,ar_400,400,2598062
al_695,695,ar_400,400,5254367
al_696,696,ar_403,403,10961663
al_697,697,ar_154,154,1125480
al_698,698,ar_304,304,198584
al_699,699,ar_404,404,638613
al_700,700,ar_405,405,752827
al_701,701,ar_405,405,8600559
al_702,702,ar_405,405,1946687
al_703,703,ar_399,399,21895812
al_704,704,ar_304,304,21070721
al_705,705,ar_304,304,13046670
al_706,706,ar_405,405,2257279
al_707,707,ar_130,130,23481092
al_708,708,ar_407,407,3986059
al_709,709,ar_408,408,10435938
al_710,710,ar_403,403,7086647
al_711,711,ar_405,405,1948918
al_712,712,ar_400,400,877407
al_713,713,ar_288,288,59282218
al_714,714,ar_407,407,24787
al_715,715,ar_288,288,3084808
al_716,716,ar_407,407,14491123
al_717,717,ar_309,309,13135704
al_718,718,ar_409,409,46468587
al_719,719,ar_411,411,15160762
al_720,720,ar_413,413,507729
al_721,721,ar_407,407,759264
al_722,722,ar_414,414,8087429
al_723,723,ar_407,407,21098369
al_724,724,ar_409,409,3301533
al_725,725,ar_409,409,35198658
al_726,726,ar_284,284,505341
al_727,727,ar_284,284,99511
al_728,728,ar_173,173,11972833
al_729,729,ar_415,415,76898
al_730,730,ar_416,416,11458272
al_731,731,ar_417,417,31669373
al_732,732,ar_411,411,2399443
al_733,733,ar_418,418,4265
al_734,734,ar_366,366,13118821
al_735,735,ar_418,418,5053302
al_736,736,ar_418,418,2387
al_737,737,ar_419,419,514871
al_738,738,ar_366,366,516141
al_739,739,ar_420,420,28321
al_740,740,ar_418,418,19518119
al_741,741,ar_422,422,18
al_742,742,ar_366,366,3945995
al_743,743,ar_418,418,4322709
al_744,744,ar_423,423,10684
al_745,745,ar_275,275,6404656
al_746,746,ar_366,366,10378199
al_747,747,ar_114,114,2354171
al_748,748,ar_428,428,1079451
al_749,749,ar_430,430,265286
al_750,750,ar_366,366,3148
al_751,751,ar_434,434,7
al_752,752,ar_438,438,530
al_753,753,ar_418,418,321288
al_754,754,ar_439,439,684161
al_755,755,ar_440,440,16055247
al_756,756,ar_441,441,101483
al_757,757,ar_338,338,45903
al_758,758,ar_191,191,237577
al_759,759,ar_440,440,17177497
al_760,760,ar_441,441,2437076
al_761,761,ar_441,441,14965920
al_762,762,ar_13,13,9084313
al_763,763,ar_441,441,16236
al_764,764,ar_442,442,11131810
al_765,765,ar_444,444,40035367
al_766,766,ar_441,441,154642
al_767,767,ar_13,13,18517
al_768,768,ar_13,13,45155603
al_769,769,ar_13,13,2395408
al_770,770,ar_441,441,7708913
al_771,771,ar_441,441,313742
al_772,772,ar_13,13,51584
al_773,773,ar_338,338,21573991
al_774,774,ar_338,338,35007230
al_775,775,ar_448,448,4609533
